name,country,gender,stime1,stime2,ftime1,ftime2,ctime,rank,olympian
Martins Dukurs,LV,male,487,483,5366,5388,10754,1,TRUE
Sungbin Yun,KR,male,481,482,5376,5389,10765,2,TRUE
Alexander Tretiakov,RU,male,479,479,5371,5400,10771,3,TRUE
Axel Jungk,DE,male,489,483,5403,5409,10812,4,FALSE
Nikita Tregubov,RU,male,495,488,5408,5415,10823,5,FALSE
Tomass Dukurs,LV,male,503,499,5407,5427,10834,6,TRUE
Wenqiang Geng,CN,male,502,500,5445,5427,10872,7,FALSE
Matthew Antoine,US,male,505,503,5434,5443,10877,8,TRUE
Matthias Guggenberger,AT,male,502,503,5455,5429,10884,9,TRUE
Christopher Grotheer,DE,male,499,501,5437,5481,10918,10,FALSE
Vladislav Marchenkov,RU,male,501,500,5462,5461,10923,11,FALSE
Dom Parsons,GB,male,519,509,5471,5467,10938,12,FALSE
Dave Greszczyszyn,CA,male,506,504,5494,5449,10943,13,FALSE
Kevin Boyer,CA,male,499,501,5479,5475,10954,14,FALSE
Jerry Rice,GB,male,503,504,5493,5492,10985,15,FALSE
Barrett Martineau,CA,male,507,506,5491,5496,10987,16,FALSE
John Daly,US,male,509,515,5470,5520,10990,17,TRUE
Alexander Gassner,DE,male,502,499,5459,5548,11007,18,FALSE
Greg West,US,male,510,507,5489,5523,11012,19,FALSE
John Farrow,AU,male,527,532,5493,5522,11015,20,TRUE
Hiroatsu Takahashi,JP,male,510,,5495,,5495,21,TRUE
Junhyeon Kim,KR,male,495,,5499,,5499,22,FALSE
Rhys Thornbury,NZ,male,505,,5500,,5500,23,FALSE
Joseph Luke Cecchini,IT,male,505,,5515,,5515,24,FALSE
Ander Mirambell,ES,male,529,,5522,,5522,25,TRUE
Alex Hanssen,NO,male,492,,5524,,5524,26,FALSE
Vladyslav Heraskevych,UA,male,526,,5527,,5527,27,FALSE
Jack Thomas,GB,male,496,,5535,,5535,28,FALSE
Nicholas Timmings,AU,male,507,,5553,,5553,29,FALSE
Ronald Auderset,CH,male,490,,5596,,5596,30,FALSE
Riet Graf,CH,male,523,,5600,,5600,31,FALSE
Janine Flock,AT,female,542,535,5469,5544,11013,1,TRUE
Elisabeth Vathje,CA,female,524,525,5510,5529,11039,2,FALSE
Lizzy Yarnold,GB,female,531,522,5535,5511,11046,3,TRUE
Elena Nikitina,RU,female,507,503,5500,5548,11048,4,TRUE
Laura Deas,GB,female,522,519,5543,5526,11069,5,FALSE
Jane Channell,CA,female,522,520,5564,5509,11073,6,FALSE
Mirela Rahneva,CA,female,527,518,5539,5535,11074,7,FALSE
Jacqueline Loelling,DE,female,557,552,5517,5558,11075,8,FALSE
Katie Uhlaender,US,female,532,530,5541,5540,11081,9,TRUE
Tina Hermann,DE,female,547,545,5546,5551,11097,10,FALSE
Savannah Graybill,US,female,553,554,5559,5558,11117,11,FALSE
Kimberley Bos,NL,female,533,529,5582,5538,11120,12,FALSE
Kim Meylemans,BE,female,534,532,5552,5568,11120,12,FALSE
Kendall Wesenberg,US,female,544,544,5590,5543,11133,14,FALSE
Yulia Kanakina,RU,female,519,513,5595,5566,11161,15,FALSE
Lelde Priedulena,LV,female,531,531,5548,5615,11163,16,TRUE
Jaclyn Narracott,AU,female,542,544,5575,5607,11182,17,FALSE
Nozomi Komuro,JP,female,539,546,5604,5581,11185,18,TRUE
Marina Gilardoni,CH,female,538,536,5590,5612,11202,19,TRUE
Takako Oguchi,JP,female,548,543,5604,5627,11231,20,FALSE
Ashleigh Fay Pittaway,GB,female,567,,5617,,5617,21,FALSE
Renata Khuzina,RU,female,525,,5620,,5620,22,FALSE
Sophia Griebel,DE,female,540,,5626,,5626,23,TRUE
Maria Montejano,ES,female,552,,5628,,5628,24,FALSE
Joska Le Conte,NL,female,541,,5633,,5633,25,FALSE
Maya Pedersen,NO,female,560,,5694,,5694,26,FALSE
